state,electorate,site_id,latitude,longitude,legs,description,layout_1,layout_1_enter,layout_2,layout_2_enter,layout_3,layout_3_enter,layout_4,layout_4_enter,layout_5,layout_5_enter,layout_6,layout_6_enter,leg1-2,leg1-3,leg1-4,leg1-5,leg1-6,leg2-1,leg2-3,leg2-4,leg2-5,leg2-6,leg3-1,leg3-2,leg3-4,leg3-5,leg3-6,leg4-1,leg4-2,leg4-3,leg4-5,leg4-6,leg5-1,leg5-2,leg5-3,leg5-4,leg5-6,leg6-1,leg6-2,leg6-3,leg6-4,leg6-5,leg1_enter,leg1_exit,leg1_total,leg2_enter,leg2_exit,leg2_total,leg3_enter,leg3_exit,leg3_total,leg4_enter,leg4_exit,leg4_total,leg5_enter,leg5_exit,leg5_total,leg6_enter,leg6_exit,leg6_total,female,male,not known,total,year,7:00 AM,7:15 AM,7:30 AM,7:45 AM,8:00 AM,8:15 AM,8:30 AM,8:45 AM,location,geolocation
VIC,Melbourne,4984,-37.788788,144.936034,4,"Carpark entrance opposite Stubbs St [N], Racecourse Rd [E], Stubbs St [S], Racecourse Rd [W]",7,187,98,278,189,9,278,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,111,0,165,2018,14,11,18,15,31,38,23,15,POINT (144.936034 -37.788788),"-37.788788, 144.936034"
VIC,Melbourne,4985,-37.787695,144.925278,4,"Clarence St [N], Racecourse Rd [E], Smithfield Rd [SW], Racecourse Rd [W]",8,188,98,278,233,53,277,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,43,5,65,2018,6,5,12,6,12,13,8,3,POINT (144.925278 -37.787695),"-37.787695, 144.925278"
VIC,Melbourne,6554,-37.825963,144.960053,4,"Queens Bridge St [N], City Rd [NE], Morray St [S], City Rd [SW]",12,192,43,223,158,338,222,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,208,1,269,2018,29,22,30,20,37,46,41,44,POINT (144.960053 -37.825963),"-37.825963, 144.960053"
VIC,Melbourne,4399,-37.787979,144.959,2,"Royal Pde/shared path [N], Royal Pde/shared path [S]",5,185,186,6,,,,,,,,,1393,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,1393,32,1425,32,1393,1425,,,,,,,,,,,,,612,813,0,1425,2019,72,78,126,160,204,240,258,287,POINT (144.959 -37.787979),"-37.787979, 144.959"
VIC,Melbourne,4407,-37.79454,144.930987,4,"Macaulay Rd - east end [E], Eastwood St [S], Macaulay Rd [W], Eastwood St/Rankins Rd [N]",98,278,161,341,278,98,350,170,,,,,1,11,0,,,0,0,0,,,142,4,1,,,65,21,2,,,,,,,,,,,,,12,207,219,0,26,26,147,13,160,88,1,89,,,,,,,75,172,0,247,2019,14,28,29,31,33,39,39,34,POINT (144.93098700000002 -37.79454),"-37.79454, 144.930987"
VIC,Melbourne,4411,-37.796627,144.951172,4,"Gatehouse St [NE], Flemington Rd [SE], Harker St [SW], Flemington Rd [NW]",45,225,135,315,225,45,315,135,,,,,33,72,5,,,8,4,36,,,26,19,6,,,25,360,2,,,,,,,,,,,,,110,59,169,48,412,460,51,78,129,387,47,434,,,,,,,205,381,10,596,2019,39,72,0,69,78,105,134,99,POINT (144.951172 -37.796627),"-37.796627, 144.951172"
VIC,Melbourne,4413,-37.800289,144.943954,4,"Arden St towards Curzon St [E], Drvyburgh St [S], Arden St [W], Macaulay Rd [NW]",98,278,188,8,278,98,320,140,,,,,2,27,13,,,0,2,4,,,237,3,0,,,90,46,1,,,,,,,,,,,,,42,327,369,6,51,57,240,30,270,137,17,154,,,,,,,123,292,10,425,2019,28,29,49,51,65,66,73,64,POINT (144.943954 -37.800289),"-37.800289, 144.943954"
VIC,Melbourne,4417,-37.808903,144.966278,4,"La Trobe St [E], Russell St (city) [S], La Trobe St [W], Russell St [N]",70,250,160,340,250,70,340,160,,,,,19,532,4,,,1,3,7,,,119,33,9,,,2,39,25,,,,,,,,,,,,,555,122,677,11,91,102,161,560,721,66,20,86,,,,,,,238,555,0,793,2019,30,53,71,102,129,146,139,123,POINT (144.966278 -37.808903),"-37.808903, 144.966278"
VIC,Melbourne,4423,-37.810334,144.961361,4,"La Trobe towards Exhibition St [E], Elizabeth St [S], La Trobe St [W], Elizabeth St [N]",70,250,160,340,250,70,340,160,,,,,67,420,13,,,1,4,39,,,178,29,7,,,18,235,18,,,,,,,,,,,,,500,197,697,44,331,375,214,442,656,271,59,330,,,,,,,283,743,3,1029,2019,46,70,90,122,161,175,187,178,POINT (144.961361 -37.810334),"-37.810334, 144.961361"
VIC,Melbourne,4430,-37.81321,144.951431,4,"La Trobe St [E], Spencer St [S], La Trobe St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,17,195,5,,,15,4,30,,,355,30,0,,,4,50,5,,,,,,,,,,,,,217,374,591,49,97,146,385,204,589,59,35,94,,,,,,,165,545,0,710,2019,45,41,86,89,115,110,110,114,POINT (144.951431 -37.81321),"-37.81321, 144.951431"
VIC,Melbourne,4439,-37.819073,144.954158,4,"Collins St towards Collins St [E], Spencer St [S], Collins St [W], Spencer St [N]",70,250,160,340,250,70,340,160,,,,,9,60,5,,,17,14,66,,,95,48,3,,,4,61,11,,,,,,,,,,,,,74,116,190,97,118,215,146,85,231,76,74,150,,,,,,,82,311,0,393,2019,38,49,45,40,53,51,70,47,POINT (144.954158 -37.819073),"-37.819073, 144.954158"
VIC,Melbourne,4442,-37.821009,144.947427,4,"Collins St (city) [E], Harbour Esp [S], Collins St [W], Harbour Esp [N]",70,250,168,348,250,70,345,165,,,,,25,7,5,,,17,2,235,,,11,0,1,,,127,640,5,,,,,,,,,,,,,37,155,192,254,665,919,12,14,26,772,241,1013,,,,,,,245,827,3,1075,2019,66,99,113,144,191,161,168,133,POINT (144.947427 -37.821009),"-37.821009, 144.947427"
